timestamp,decision,percentage,target_price,ml_prediction,rl_action,current_price,balance,btc_amount,params,regime,anomalies,dynamic_target,weighted_decision,ml_accuracy,ml_loss,success
2024-08-08 18:36:04.094356,hold,0.0,,,,80688000.0,561055.94423564,7.033e-05,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,65.21739130434783,0.3478260869565217,
2024-08-08 18:46:08.329275,hold,0.0,,,,80733000.0,561055.94423564,7.033e-05,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,65.21739130434783,0.3478260869565217,
2024-08-08 18:56:12.537770,sell,1.0,80956000.0,,,80956000.0,561055.94423564,3.3e-07,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,60.86956521739131,0.391304347826087,
2024-08-08 19:06:17.535622,buy,1.0,80753000.0,,,80753000.0,555442.42043642,6.981e-05,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,65.21739130434783,0.3478260869565217,
2024-08-08 19:16:22.031687,buy,1.0,80772000.0,,,80772000.0,549829.2616196,6.981e-05,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,65.21739130434783,0.3478260869565217,
2024-08-08 19:26:26.355360,hold,0.0,,,,80960000.0,555493.3481596,6.981e-05,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,69.56521739130434,0.3043478260869565,
2024-08-09 00:09:16.821075,buy,1.0,82835000.0,,,82835000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 00:19:20.357083,sell,70.0,82634000.0,,,82634000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 00:29:24.592947,sell,1.0,82844000.0,,,82844000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 00:39:30.591679,buy,1.0,83230000.0,,,83230000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 00:43:14.493742,buy,1.0,83245000.0,,,83245000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 00:53:19.526131,hold,0.0,,,,83420000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 01:02:07.306156,sell,75.0,83631000.0,,,83631000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 01:02:27.736417,buy,50.0,83688000.0,,,83665000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 01:04:42.604236,sell,80.0,83875000.0,,,83875000.0,555493.3481596,0.00013927,"{'RSI_SELL_THRESHOLD': 70, 'RSI_BUY_THRESHOLD': 30}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:15:35.401901,hold,0.0,,,,83559000.0,555493.3481596,0.00013927,"{'decision_threshold': 0.11000000000000001, 'position_size': 0.08000000000000002, 'stop_loss': 0.024, 'take_profit': 0.03}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:17:37.775884,hold,50.0,,,,83582000.0,555493.3481596,0.00013927,"{'decision_threshold': 0.11000000000000001, 'position_size': 0.08000000000000002, 'stop_loss': 0.024, 'take_profit': 0.03}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:20:25.979234,sell,0.0,,,,83584000.0,555493.3481596,0.00013927,"{'decision_threshold': 0.11000000000000001, 'position_size': 0.08000000000000002, 'stop_loss': 0.024, 'take_profit': 0.03}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:22:33.092853,hold,50.0,,,,83691000.0,555493.3481596,0.00013927,"{'decision_threshold': 0.11000000000000001, 'position_size': 0.08000000000000002, 'stop_loss': 0.024, 'take_profit': 0.03}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:32:37.469069,buy,75.0,86835000.0,,,83776000.0,555493.3481596,0.00013927,"{'decision_threshold': 0.12100000000000002, 'position_size': 0.07200000000000002, 'stop_loss': 0.026400000000000003, 'take_profit': 0.03}",Sideways Market,True,0.0,0.0,0.0,0.0,
2024-08-09 02:46:47.455797,hold,70.0,,,,83515000.0,555493.3481596,0.00013927,"{'risk_factor': 0.8, 'stop_loss_factor': 0.024, 'take_profit_factor': 0.024, 'trade_frequency': 0.9}",Sideways Market,True,0.0,0.0,0.4800469483568075,0.5199530516431925,
2024-08-09 02:48:04.988421,sell,75.0,,,,83587000.0,555493.3481596,0.00013927,"{'risk_factor': 0.8, 'stop_loss_factor': 0.024, 'take_profit_factor': 0.024, 'trade_frequency': 0.9}",Sideways Market,True,0.0,0.0,0.4800469483568075,0.5199530516431925,
2024-08-09 02:52:19.069943,hold,50.0,,,,83536000.0,555493.3481596,0.00013927,"{'risk_factor': 0.8, 'stop_loss_factor': 0.024, 'take_profit_factor': 0.03, 'trade_frequency': 0.9}",Sideways Market,True,0.0,0.0,0.5046948356807511,0.4953051643192488,
